Name,Value
USD,1
AUD,1.5394097118391845
BGN,1.721550671765447
BRL,5.64670572838794
CAD,1.3736512800306773
CHF,0.8214694055605786
CNY,7.204306229353636
CZK,21.866610847455245
DKK,6.565106191359046
EUR,0.8795043816908297
GBP,0.7387986321947857
HKD,7.832587220449533
HRK,6.629705788194237
HUF,355.27050036763285
IDR,16246.255153895678
ILS,3.612975855845714
INR,85.14207777633149
ISK,127.66042599674233
JPY,142.57042983138143
KRW,1365.7308162504266
MXN,19.241356230936745
MYR,4.231040524043891
NOK,10.10613858878245
NZD,1.6706625482408155
PHP,55.37039183679213
PLN,3.7466798709591176
RON,4.446205114493881
RUB,79.34206651867541
SEK,9.52821801858217
SGD,1.2873041783494166
THB,32.503048362186945
TRY,38.992803015644625
ZAR,17.832355910797148
AMD,382.900240456498
IRR,42125.013716750334
NGN,1589.8042284811665
SAR,3.7506886519308638
PKR,281.3884867599411
HTG,130.63293093076192
TWD,29.972313202064374
PAB,0.9983729168938721
LKR,298.8873706688807
UAH,41.44030891711903
PEN,3.6526379854424436
MAD,9.176851620574775
BOB,6.898889537767677
AOA,917.504271752782
MDL,17.310996267383405
SDG,600.503866301262
COP,4170.120512328893
CRC,507.80681950107476
DOP,58.96118307411408
BDT,121.59919402218463
GEL,2.740391414630028
ETB,135.15094230099456
VND,25954.008233920023
BHD,0.37691863880865856
AED,3.673042487097671
ARS,1134.356167612427
KWD,0.30651079503678086
EPG,49.34
CFA,622.96
CLP,941.4525568951385
